web-scraper-order,author,title,content,positively_rated
1578435019-5814,Sweet,Applied perfectly!,The instructions are a little in depth but I see why because I followed them to a T and it applied perfectly with no air bubbles or dust underneath. Works with apple pencil and very little glare in direct sunlight. Would buy again!,1
1578434962-5602,Brian,Very good.,"I am really impressed with this screen protector. It is really easy to install, and with the guide stickers, it will go on straight.",1
1578435334-6978,Nancy Hester,NOTHING HAPPENS TO IT!!! Is your screen that cracks,My iPad fell yesterday and nothing happened to the temper glass.... MY SCREEN is what crack!!!,0
1578435930-9143,Hugh C.,Pretty good.,Fit well. Just a couple of small bubbles toward the outer edge that I couldn't remove but are covered by the edging of my case.,1
1578435456-7400,Rabia,Bad!,"Broke within a week, it has so many cracks already. Apparently its ""explosion"" proof but not everyday wear and tear. Waste of money.",0
1578435014-5800,Abearinpa,good idea good buy no cases allowed,"best part is the worse part in that this is a thick solid piece of almost glass.  doesnt work with either of my cases.  the edge of the case lifts or gets stuck on the edge of the screen protector.  i guess a good buy if u are not using a case, i am sending back",0
1578435445-7358,L.W,Great buy!,"Easy to use, looks and works great",1
1578435036-5878,Billy,Great,I was very surprised at the quality of this glass cover. Installation was easy and it attached to the iPad screen very nicely. I highly recommend.,1
1578434814-5048,Laura,You get what you pay for,"There were many bubbles that I struggled to get out so I thought I’d lift the protector a little, well by doing this dust got onto the back of protector creating permanent bubbles. I plan on ordering a different brand and taking this one off when it arrives. I’ve never had this much trouble before and I carefully followed the directions given.
Not compatible with iPad case, corners peel up.",0
1578434718-4689,Mailman33,Clearly Sticking,"All I had to do was follow the instruction on the Youtube video. The installation went exactly as described. A clean and dust-free surface is essential, and, of course, aligning the protector  properly. Thankfully, I had no bubbles at all, nor did I have any problem with dust or lint. I never thought it would be this EASY! If it adheres to the screen as advertised, I will be EXTREMELY satisfied. However, only time will tell on that point. But everything else went well, so I'm not concerned about that at all. Yes, I would highly recommend the Sparin Ipad 9.7"" screen protector.",1
1578434867-5244,Derik,Failed installation - Particulate matter on protector and sticker hinges not strong enough,"I've installed many screen protectors on my apple products of the years and thought I'd give this product a try. I viewed the installation video and then opened up my brand new iPad. After a precautionary cleaning with the included wipes, when I went to fold the protector back over the iPad screen, one of the stickers slipped on the protector. I let it lay down as best I could. I could see two spots where there was particulate (tiny circles). I attempted to salvage it, but it was pointless.",0
1578435415-7258,Steven Wong,Great!,Ok,1
1578435496-7535,Amazon Customer,Average,"We just purchase it based on the review. It seem to fit well with my new iPad. So far so good. However after we touch it, it does leave fingerprint marks. It is annoying but easy to wipe off",1
1578434754-4814,Nani15,Great great product. Definitely worth it,"I was a little hesitant at first because I’ve never heard of this company before but it was a decent price and had pretty good ratings.
I’m so glad I did.
The packaging it came in was grade A. Nice durable cardboard like box that would prevent the glass from breaking.
Now I usually suck at putting these things on but the instructions were super easy and actually doing it was even easier. All the tools are provided for you to have a perfect application.
I am definitely very pleased and will definitely purchase more from them.",1
1578435936-9167,Bonnie Parrish,Wonderful!!!,Very fast delivery!  Great product!,1
1578435928-9138,Dario Medina,Great buy!,Great product! Can’t tell there is a protector on the screen.,1
1578435854-8862,Leon Venegas,Four Stars,Fits perfectely but is a bit of glare,1
1578435583-7861,Amazon Customer,Awesome product!,The kit that came with it made it very easy to install it perfectly!,1
1578435396-7187,Amazon Customer,Nice,Nice,1
1578435549-7731,Erika Linares,Good,Good,1
1578434672-4514,chatomorgan,Fraud...Plastic instead as advertised glass...Brand new item also arived shattered....,"Well, what kind of review should one give when you pull the brand new screen protector out form its sheathing only to find it shattered, and, that it is plastic instead of the tempered glass as advertised.
The shattering most likely occurred in shipment, but the switching to plastic instead of glass as advertised was a deliberate act of fraud.",0
1578434762-4844,Michael Tanner,I MAY have just got a defected one!,"THE SCREEN PROTECTOR was very clear would have been great but it Would not lay flat ! I Gave up after having to lift several times and could not get the bubbles out  cleaning was not a problem as I was putting on my New Ipad that was new straight out of the box and had never been used! I put back in the box ,I did not contact the company as I was not in the mood to explain how careful I was to make sure dust was not the problem until trying to get the air pockets out, Lucky for me the Trent case I bought had a protecter on it, I am using it for now but not as clear and will  get another one",0
1578435136-6254,Margarita Rosa,Good Protector!,Protector seems very good.  Followed YouTube video precisely and it went on like a charm. Be sure to take your time and follow the instructions from the recommended video. Don't rush!,1
1578435090-6077,Susan Bompadre,It was easy to put on (although I didn't use the mounting ...,"It was easy to put on (although I didn't use the mounting assist tabs).  I ended up with a piece of lint under the glass but, of course, that's my fault for not using the lint remover.  It looked like it was going to have a few bubbles but I re-placed it and they went away.  Overall, easy to use with crystal clear view.",1
1578435510-7585,RandomReviewer,Couldn't be more satisfied.,This screen protector was easy to install and works great.  Everything is provided to ensure a clean area prior to install and necessary instructions and tools to have it mount exactly where it needs to be.,1
1578435641-8085,dragonflies71,Perfect Fit,Great for my iPad.,1
1578436008-9428,Bob Carroll,protects your IPad screen,Follow the instructions and get a great result.,1
1578434804-5003,Kristen Bennett,Seems Great,"Great tempered glass screen protector. Have not dropped one of the iPads yet, but hoping it will hold up well. I ordered two- one for mine and one for my husbands. They went on pretty easily. The instructions are in Chinese, but they provide a Youtube video for reference which was in English.",1
1578435005-5763,Tanya M,Super Easy to install,"This was one of the easiest to install.
No bubbles and super easy to stick on. Comes with tool to smooth out edges. Definitely recommend",1
1578435565-7795,Amazon Customer,Must have,Great screen protector for a reasonable price. Clear instructions ensured a seamless installation. Can't even tell I have it on. Definitely will buy again for other devices,1
1578435606-7955,pauline tannery,Bad battery.,"Received my renewed iPad.  Seller was Amazon prime.  Battery was slow to charge and ran down very fast, obviously defective.  Followed all directions and sent iPad back and a week now have been waiting to have a replacement.",0
1578435146-6292,Haruka-J,Very good quality,"Works as advertised, had it for a year already. Definite buy.",1
1578435708-8348,Margie H,As good as the expensive brands,Perfect price for the protection,1
1578435961-9255,Dina,Five Stars,Good product,1
1578435030-5858,Nate Mason,Product is well-made and well packaged with clear instructions. ...,"Product is well-made and well packaged with clear instructions.  I had a little trouble installing it and the day after I mounted it, it came partially unstuck and I could not re-stick it.  I contacted customer service and after trying to talk me through a solution, which did not solve my problem, they provided me a replacement screen protector free of charge.  They are a solid and reliable company to buy from.",1
1578435448-7363,Amazon Customer,Durable,Good cuality,1
1578435677-8226,Paula Kay Pearman,Huge savings over Verizon!,I just purchased a new iPad and was going to buy a screen protector from Verizon until they told me they were $50. I immediately went to Amazon  and found this product with high reviews. I purchased one for myself and put it on my iPad as soon as I got it. All I can say is AWESOME!!,1
1578435554-7752,Brendan Finn,Maybe too good?  :),I'd almost say it was a but if an overkill that is how good it was. The protector was in an overpack case and the protector is perfect no complaints.,1
1578434892-5339,Twolong03,Great product but find a good clean place free of debris to install,"I think I like the product, they give you all the tools necessary to install the screen protector and everything seems top notch but my advice is try to install the screen cover in a somewhat sterile environment. Myself, I have two huskys and in the summer there is no such place in my house without floating hair in the air, so I struggled with keeping the underside of the screen free of debris.",1
1578435024-5832,Gregson Siu,Definite Buy again,Great customer service with fabulous response.  I had a small issue and they were prompt in resolving and helping to correct the problem.  Great product and great price.,1
1578435496-7534,Customer,👍,👍,1
1578434672-4512,Falisha S.,Frustrating,"EDIT:
My original review is below but wanted to update this review to say that the company did reach out to me and sent me replacement screens so I could give it another try. I will say that I am still not ""in love""  with these screens I will say that the replacement screens did go on better and with less dust and trapped air. Thanks to this company for standing by their products and they seem to be holding up quite well.

I appreciated the video showing the installation as well as providing ""guide"" stickers which are also very useful. Unfortunately this item has to be returned because I have never had any issues installing a screen protector before but after several attempts with this one, I was unable to eliminate either bubbles or dust. Unfortunately I was persuaded to purchase this based on amazing reviews I found this product extremely difficult and unfortunately ""re-application"" was not possible due to artifacts becoming stuck to the protector itself which renders the item useless.",1
1578434754-4815,Vanna Lee,Best Protector,"This is an updated review, my  first review was right after I bought it and before I was glad I had it. My son dropped my iPad and broke the screen or so I thought. I took the  protector  off and NO DAMAGE to the iPad screen. I of course bought another one to replace the one my son broke. Best  protector I have used will be buying one for my iPhone as well.",1
1578435146-6294,Myrna Rosentiehl,I loved this screen protector,"I loved this screen protector, it was very easy to put on my IPad, even though I was a little worried about the usual bubbles that can be, but no bubbles at all. So happy and big smile!",1
1578434684-4558,Ctse,Updated to 4 stars after the replacement from the two stars is just for packaging and amazon's shipping.,"Update- 9/17/2016
I received a replacement from SPARIN with video links for installing the screen glass.
This time around the glass fit Good but not perfect. I still feel like there is a bit space uncovered by the screen glass toward the right edges of the ipad pro 9.7.  And the Guide stickers provided with the package isn't used in the installation video, so I skipped that part myself. I wonder how it is used appropriately.
However, the positive aspect of it is there is no air bubbles trapped during the installation. And the biggest plus is, it doesn't hampers the functionality of apple pencil.

Old review:
The screen protector doesn't align well over the ipad screen. It is narrower toward the top and thereby leaves a large gap to one side of the ipad screen. Whats the point of screen protector which doesn't fit well over the ipad? Maybe I got a defective piece. I don't know.  I wrote to Sparin customer care and someone responded with a video link on how to install the protector, which doesn't solve the problem of it not fitting over the ipad screen.
Anyway, I can't recommend this product to anyone. Maybe only if you want to try your luck and get a good piece which fits.
The two stars is just for packaging and amazon's shipping.",1
1578435906-9060,George Wimsatt,Fits well,Very,1
1578435366-7085,Gloria Stahly,No bubbles,"Easy to adhere on iPad without bubbles, no glare and wipes clean easily",1
1578435651-8128,Amazo,Went on quit easily. It seems to be working as though it ...,Just got the screen protector and installed it the same day. Went on quit easily. It seems to be working as though it wasn't even there.,1
1578435854-8870,Lee Diaz,Great product,Protects your investment. Pretty cool seeing it install,1
1578435845-8835,Kepnlight,"Great, great","Had a problem with the first one, and Sparin immediately sent a new one.  Great, great, great service and product.",1
1578435253-6687,alittlebitofeverything,Good quality screen protector,I fitted this onto a brand new iPad and so far so good.,1
1578435022-5822,The Doc,Great screen protector. Reduces fingerprints significantly.,"See video review also.
When I got my iPad 2017, I was slightly disappointed with the amount of fingerprints at the screen got caught. And to make it worse, it Couldn’t be easily wiped off. So I knew I needed screen protector which was not a fingerprint magnet. I’m glad to report that this reduces the amount of fingerprint significantly, and the minor fingerprints that it does catch can be easily wiped off with any cloth or tissue. It just makes your life so much easier.The installation was very easy and it came with microfiber cloths, dry and wet wipes to clean the screen, and dust stickers. It matches the screen perfectly and you can’t even tell the its there after you install it, and it goes well with an iPad case. Great screen protector. Reduces for fingerprints significantly.",1
1578435389-7167,AriaDragon25,Easy Placement and Effective,It was easy placement to read the instructions and follow the video. That is usually the hardest part because of the bubbles that form. But no bubbles and not hassle. Very durable.,1
1578435366-7089,Aaron W.,Great,Nice,1
1578435268-6749,GrannyT,Quick and Easy Install.,"This product is amazing!  I watched the UTube video and it was a snap to install on my husband's new iPad 9.7 ... absolutely NO bubbles!  Afterwards, I placed it in an Otterbox case.  Touch is normal ... no interference.  I will use this product on all my future iPad purchases.",1
1578434932-5485,jeQa,The instructions suggested to go to YouTube and follow the ...,"The instructions suggested to go to YouTube and follow the video and it worked. Just make sure that when adjusting the screen to the temporary hinges to the side that doesn't have the adhesive. If you happen to do it wrong, don't worry, just carefully remove the it and turn the screen over to the correct side.",1
1578434836-5123,Daemonicblackcat,Broke as I pulled it out of the box,"I can’t really speak to how well this product lasts because as I was pulling the glass out of the sleeve it snapped in my hand. I am not a particularly strong person and I have used tempered glass screen protectors before, so I’m not sure what happened.",0
1578434895-5347,HalZ,"Doesn't work with iPad pencil and it thicker than advertised at 0.43 mm, But Replacement Works Great.  Revised to 4 stars","First Review:  One Star, New Review 4 Stars.  Came in beautiful package. Install instruction well written. Followed instruction to a ""T"" and had 3 bubbles.  I was able to work one of the 3 out and had to pull up the corner of the screen protector & laid it back and the bubbles worked itself out, but I did have a little corner that wasn't adhered to the iPad screen. It felt thick so I measured it and it is 0.43mm, not 0.30 mm.  It would have still worked, but when I tried the pen, while the ad said it works perfectly, it does not.  If you plan to use the iPad pencil, do not get this screen protector as it does not work. Just for protection it would be fine, but a thinner one would be much better.

After Sparin read my review, I received an email right away form their Customer Service representative that indicated Customer Satisfaction is their #1 goal and I may have received a defective screen protector.  They forwarded a promotional code that allowed me to purchase a replacement at ""No Cost"".  I did so and just installed my new screen protector and this one works perfectly.  Kudos to Sparin for their great customer service, sticking by their product quality and really caring.  New screen protector is a great product.  Only reason for not giving 5 stars is, I wish the screen protector was a little thinner but it's fine.",1
1578435997-9383,Gus G,Great product,Great product!,1
1578435917-9097,Amazon Customer,I especially liked the specific instructions and extra stickers to help with ...,"I especially liked the specific instructions and extra stickers to help with perfect screen alignment.  Usually I eyeball it, but this was much more precise!",1
1578435961-9260,Randy E. Simmons,Five Stars,Great item...and valuable!!!,1
1578435726-8415,Brenjoe,A Good Product,"Received the product very quick and as advertised. As is typical of these type of screen protectors, they are not the easiest to apply to the screen. Overall, seems to be a good product.",1
1578434890-5324,gadget happy,A must for the iPad 1822 model.,I own the 1822model iPad and I love this thing. This screen protector was a perfect fit and bubble free. My OCD kicks into overdrive when I see a bubble or imperfection in a screen protector. This one went on perfectly the first time. Easy to clean and brings me peace of mind knowing my iPad screen is safe.,1
1578434958-5583,tof,"Great Quality, No Bubbles!","This screen protector is really high quality. I was pleasantly surprised to find out how easy it is to apply (I went ahead and watched the video just to be sure I did it right - but the written instructions were clear). It went on flawlessly and had no bubbles at all! Best screen protector ever, just for that alone!",1
1578435087-6061,K Sheets,Great,I had no problem installing this on my 5th gen ipad. It works great and protects my screen!,1
1578435792-8659,Samantha & Nick,Bubbles,"Got some bubbles under the cover when I laid it ion my screen. Was able to get MOST out with a credit card, but there is still some bubbling present. Doesn't affect the product any,  just annoying.",1
1578434682-4545,WolverineRat,Fantastic product. Great value.,"The product is encased in a sturdy, padded box. The instructions for installation are thorough, and everything you need for a great install is inside the box.the entire process took less than 3 minutes. It would have been much faster, but I am a perfectionist when it comes to placement. They actually have guide tab stickers to help you set the product into place before removing the film from the glass, which allows you to make certain the placement is perfect. Once, pressed into place, air bubbles are easily smoothed out. The finished install looks amazing, and since it is glass, it provides a great feel, unlike the rubbery plastic ones.

I purchased one of these for my daughter's new smartphone, and after having such a fantastic experience with it, I bought one for every electronic device in my house. I am absolutely astonished by the quality of this product, not to mention the amazing price point.",1
1578435565-7796,Denise,This screen protector was nice and easy to install,This screen protector was nice and easy to install. The instructions they provided helped to ensure I got it right! Looks great.,1
1578435911-9072,JOHN in CA,Screen fits great and is invisible once on to looks and touch.,"Finally got around to put this on the wife's iPad Pro. I did give it 5 stars because once it was on it fit perfect and more important you don't know it's there and the touch of the iPad was unchanged with it on. I think the wife has already forgotten there's a screen protector on her iPad. The install directions they give you suck, though you do get all the materials you'll need to clean the iPad screen before putting it on.  Also the video they direct you to doesn't exactly match the procedure in the instructions, but this isn't rocket science stuff and you can figure it out. They (and other vendors with videos on YouTube apparently do too) give you a few adhesive strips to make a hinge between the iPad case and the screen protector, so after cleaning the iPad screen you just fold over the protector which will because of these hinges lay perfectly back in the position you so carefully matched up with the iPad screen. In my case, in the process of laying the protector back into this perfect position, both adhesive strips let loose and I was on my own! - to just lay it back in position. Fortunately, if you're careful, you can pull the screen back up if it's not laying down in perfect position. In my case this was about 3 or 4 tries. Then I was left with two bubbles. Again though, pulling up carefully you can pull back to the bubbles and lay the screen down while squeezing the bubbles out. As I said above, once you do this, you won't know it's on there, but you now have the satisfaction of providing some protection to a fairly expensive device.",1
1578435011-5790,J. Garrette,Good protection,This works great for my Ipad Pro. I actually dropped my Ipad on the ground and the screen saved it from being cracked. I would buy again. It has been one year and it is still going strong.,1
1578435635-8068,Jay,"these glass protectors are great, and then come in sturdy packaging","these glass protectors are great, and then come in sturdy packaging, so they were not damaged at all when we got them.",1
1578435578-7849,jlu,Works,Works,1
1578435638-8074,USATraveler96,A Must Have for My New iPad,Great product!  Would absolutely purchase again!! Easy installation instructions.,1
1578434741-4762,KC Tech Geek,Not particularly easy to install this item with precision - the sticky ...,"Not particularly easy to install this item with precision - the sticky tabs that act as ""hinges"" for the install don't hold the screen protector in place accurately after you lift it, making it likely you'll get a slightly crooked application of the screen protector.

[Update 6/2/2018] The vendor graciously offered to send a replacement screen protector so that I could re-install. Reinstallaton went better but still not perfect. I’m adding one star to my review for the support offered.",1
1578435191-6455,Bear5,Includes great instructions,"This screen protector is easy to install, even for someone like myself who glues her fingers together when using superglue. I was worried about getting it crooked, but the guides to ensue correct placement eliminated that possibility.  So far it has worked well and does not seem to affect any functions on the iPad.  I would recommend this to anyone.",1
1578435418-7269,S. o'neil,Ok for the money.  Plan to buy one every few months.,This is my third cover.  I like having the extra protection for the iPad.  Each one has eventually cracked even though the device has never been dropped or treated roughly.  This third one cracked at the home button before I even installed it.  Disappointing.,0
1578435612-7977,Madison Jeannine Wallace,Five Stars,I haven't yet scratched my screen so it seems to be working.,1
1578435205-6505,Amazon Customer,They are awesome they last a long time,Don’t waste your money buying screens at T-Mobile these work better than T-Mobile screen,1
1578435126-6217,Amazon Customer,Be careful when installing,The screen protector has a very sticky lining. Make sure the device your installing it on is 100% spotless and also that the area you're working on is also devoid of ANY dust or pet hair.  I found it a little difficult to remove the air bubbles.,0
1578435832-8782,Annie,Perfect fit,Fits perfectly over my iPad screen. Simple to install with clear instructions included. Comes in a protective case to ensure safe delivery. Definitely recommend.,1
1578435841-8819,Denise Vaccher,Five Stars,"This is a great product and easy to install.  Fast delivery, good service.",1
1578435980-9325,Madhav,Five Stars,Great product and very easy to install. Recommend very highly. Thanks.,1
1578436003-9410,William A. Hansen,Three Stars,As advertised,0
1578435616-8000,Julie,Great Customer Service,Excellent customer service. I received a faulty product which developed a crack very soon after application. I contacted them and they replaced it right away. I've had no issues so far with the replacement.,1
1578434965-5618,Marshall,Nice protector,Fit good and went on easily. You just have to workout some of the bubbles but eventually they will go away after working them for a few minutes.,1
1578435854-8867,Matthew Beck,Perfect screen protector,Easy install...complete kit and high quality,1
1578434703-4627,Naturephotoguy,Ignore dust particle unless you are OCD,"Followed installation instructions exactly, but discovered a dust particle that my meticulous (or so I thought) pre-cleaning failed to remove after the protector was in place. I thought it would drive me nuts, but the adhesive closed around the dust particle so that unless I'm actively looking for it, it's unnoticeable. Reading the experiences of other users also convinced me that trying to remove the particle would be worse than just leaving it alone. Screen has a great feel to it and is nearly as sensitive to touch as the unprotected screen. Color me satisfied. Love that the bottom button is left uncovered so that fingerprint ID works.",1
1578435674-8220,D. Ash,Good,Much needed and works well. Had a little trouble getting it on without an air bubble on it.  The little bubble left is not interfering when I use my IPad.,1
1578435448-7370,Chanel_05_NC,Great,Easy to apply,1
1578434664-4490,Jennifer F.,Don't count on gliding stickers. UPDATE!,"So much for gliding stickers. Mine came off as I was gently putting the glass over my iPad, which then messed up my alignment, which then led to me having to try to fix the issue and in turn getting dust attached to the adhesive side of the screen! Tons of bubbles resulted. Giving it two stars because it did seem like it would have fit beautifully and it was packaged well. Overall, disappointed.

UPDATE: Sparin contacted me immediately after my review and offered to send me another screen protector free of charge with some suggestions of how to change my method. Basically I did not use the guide stickers this time (peeled back half, aligned, pulled back other half, then ran my finger down the middle to allow it to adhere). This method worked MUCH better. I suggest doing this, or if you really want to use the hinge method to use additional tape and not the guide stickers provided. Great customer service though! Product itself is really good - fit is great, screen works perfectly.",1
1578435527-7643,Bobo,Quality,Quality,1
1578434762-4842,James E. Bennett,Cracked after less than 24 hrs of use,"I installed the screen protector per the packaged instructions and everything seemed great at first. No bubbles and dust free. After about a day, I noticed some bubbling in the top right corner. After I looked closer, the bubbling was caused by a crack which had developed along the top right corner. The crack doesn’t hinder use of my iPad but it is definitely noticeable. I would have hoped for a longer lasting protector than just 24 hours - and I haven’t even dropped it! I have read other reviews and I hope their customer service will see this and connect with me. I would be glad to change/update my review if I can get a replacement which holds up longer than one day of use!",0
1578435718-8383,Amy K Fodo,So far it seems good. Only issue I'm having is the one corner ...,"Just got this yesterday. So far it seems good. Only issue I'm having is the one corner is not quite sticking.
UPDATE:  Due to the issue with the corner not sticking, SPARIN quickly responded by sending me a replacement of the product. So far no problems with the new screen protector.",1
1578435078-6036,Cora Morgan,Nice product,Quality product so far.  The application instructions were confusing though.  I got an email telling me to go to YouTube to view an installation video and I didn't think the video was really clear. The hinge idea with the stickers was questionable and didn't work very well.  I figured it out on my own.,1
1578435491-7520,Amazon Customer,Good,Good,1
1578435694-8291,Leanne,Good easy to use product,"Product went on easily, seems to be holding up well.",1
1578434898-5354,PinkSuedeShoes,SO EASY!!,I'm always worried about putting on screen protectors because they seem so complex but this system works seamlessly! It give you sticker guides to align the screen so it makes it super easy to put on. IMPRESSED!,1
1578434718-4685,Amazon Customer,Typical protector,"This is a typical self-sticking screen protector.  Nothing too great or too bad.  While obviously you have to be very careful with dust, the only other practical advice I have is to use all three stickers as a hinge because two stickers alone are not sticky enough to keep hold of the protector when you are peeling off the film.  Peel even a little too fast and the ""sticker hinge"" will let go of the protector.  I haven't had it long enough to judge the actual efficacy of the glass protector itself.",0
1578435845-8838,Liru Yang,So easy to install,"So easy to install,it can protect the iPad whatever to touch the screen",1
1578435157-6339,Gabriel Petty,"No bubbles, fast delivery, excellent value!","WOW!  What more can I say?!?!?  Fast delivery, great price, looks amazing, easy install!!!  No bubbles! I am extremely pleased with this product.  I have tried screen protectors from other companies in the past with mixed results.  I always have a little bit of angst before buying one of these because of that.  But, not any more!  I have a brand I can trust and it is PERFECT!  Thanks!",1
1578435845-8836,Sarah Russell,"Easy to install, hardy for toddler",Got this to protect our iPad from a rambunctious toddler. It was easy to install and doesn't interrupt the use of the touchscreen. He has dropped it several times and everything is holding up great.,1
1578434937-5507,Raynette,Get It,Very thankful I purchased this screen protector. I previously bought an expensive glass screen protector and I had to take my iPad in to fix and they gave me a new one so I lost out on the expensive screen protector so I bought this screen protector for my new device and this is just as good but not as pricey.,1
1578435066-5990,L Wheeler,Not as good as I thought !,Sparin video was not helpful enough during installation.  I ended up with bubbles and dust.  After a fews days I decided to reinstall the glass.  I cleaned it again and the screen and it looks bad.  I will be purchasing a different brand next time.,0
1578434997-5737,MM,"Easy Install, Great Quality",The instructions to put the screen protector on were perfect.  Watch the youtube video before you begin.  Easy peasy.  The screen protector fits perfectly on the new 6th generation iPad.  I am pleased with the product and the price.,1
1578434760-4832,Cindy,Great price and fantastic protection,"Replacing a broken SPARIN Tempered Glass Screen Protector I had on purchased about a year ago for my IPad Pro. Do have a Otterbox case for my tablet, replaced the plastic screen with SPARIN Tempered Glass Screen Protector.
Dropped my iPad Pro and the screen tapped hard against the metal bed frame. Saved my iPad from any damage but the temper glass not so well. The SPARIN Tempered Glass Screen Protector is worth the price for protection for my IPad Pro.",1
1578434898-5356,Kelly B,we love it. And its holding up,"Ok my package got lost in the mail and i requested a refund. Weeks later it arrived...!? It was inexpensive enough and the ipad is my toddlers so i figured ill just keep it. We put it on and wow it's so clean and clear, we love it. And its holding up, my daughter likes to stand on her ipad!",1
1578434783-4928,D. Henderson,Good Screen Protector,I am very pleased with this screen cover. It arrived on time and is exactly as described. I watched several YouTube videos on installing the screen cover. The videos vary from the written instructions sent with the product. The written instructions were the most helpful. The screen went on smoothly and all the air bubbles smoothed out quickly. It is my guess the negative comments concerning the application of this product were caused by not following the instructions. Having the screen protector is a great comfort as I was concerned over scratches on my new iPad Pro from using a Apple Pencil.,1
1578435641-8084,Hillary Willeford,Won’t charge,"It’s very difficult to get this iPad to charge. The plug had to be in a very certain position. Then, it takes HOURS to charge to 100%. I am so sad my little boy spent all of his Christmas money on this.",0
1578434986-5696,Shay Mill,Perfect. No problems,It comes with everything you need. Takes your full attention to get it right. If you have bubbles or it sticks unevenly. Just quickly peel a corner up and retry. Took me 3 tries but now it perfect. Clean the screen thoroughly with the provided products before applying,1
1578435859-8881,chloe,Five Stars,Worked well,1
1578434682-4548,lockback,One of the easiest applications I've experienced,"Teh YouTube video is a big help.  Watch before to apply the screen protector.

The ""hinges"" really help!  Simple idea that really works.  I still had to adjust as I was placing the protector.
Even after wiping and cleaning the screen I still managed to get a few dust particles caught between the screen and protector.  I peeled the protective screen up and used the sticky ""dust-absorber"" to pull the dust particles off the sticky side of the protector.  Worked like a charm!  Whew!  So all told, once I aligned, hinged, reset, re-cleaned and such - about 20 minutes - and a great finish with my iPod well protected.  Would by again.

I suspect any difficulties I have are due to the fact that I put one of these on once ever couple of years.  So, not much practice.",1
1578435126-6213,Luciana F Marques,Wonderful,"I just bought my new iPad and I do not want any surprises, already put my protection screen and I feel safer now.",1
1578435360-7062,Sara maria sobrino,Bueno,Bueno,1
1578435017-5805,Robin Koshy,"Good product, even better customer service",The productive worked fine for about a month until the adhesive started to give way and started catch dirt and lint underneath the glass so had to remove it. The company reached out to me to offer a free replacement for which I was very thankful for.,1
1578435175-6394,DONNA ADAMS-MCCARTHY,Great Product,"Excellent product, I have had this screen protector on my iPad Pro for about 6 months, I loved it so much I just bought my mom an iPad 6th generation and put the same screen protector on it right out of the box. It’s so easy to install, great quality and great price too. Thanks Sparin.",1
1578435753-8517,anisa,It was a amazing especially when I saw it go on the screen ...,It was a amazing especially when I saw it go on the screen it was very satisfying. But other than that it’s a nice glass screen protector.,1
1578435398-7197,J.Thomas,Goes on nicely,This is a pretty good quality tempered glass screen protector for the IPad take it from me because I usually have to put on about 15 screen protectors a day working with phones,1
1578435293-6838,Russell S.,It’s ok for the money,It’s ok for the money,1
1578435936-9168,kimberly glasby,Four Stars,Very easy to install and no bubbles.,1
1578435039-5885,KymKC,For newest Apple iPad,"Fit perfect, easy to put on. Came with recommendations to watch YouTube video that showed correctly how to put protector on.
Good Purchase!",1
